age_calBP,palaeo_co2,palaeo_MGS_temp,modern_co2,modern_MGS_temp,recon_mi,recon_Pann,corr_mi,est_Pann
28692,193.31,10.841497931132135,311.765,13.5442481884058,0.7029885,537.9448,0.8536153466550854,494.3607905491321
28750,193.845,9.422903339300623,311.765,13.5442481884058,0.4158887,302.6093,0.4823136567177251,321.13669769392294
28845,193.29,10.694589471255876,311.765,13.5442481884058,0.4318487,345.0828,0.5759183934013514,390.71963714623206
28979,193.065,11.499752253154346,311.765,13.5442481884058,0.6586987,490.9787,0.8523617852205225,502.92557304335764
29113,192.26,11.120728325600748,311.765,13.5442481884058,0.5211087,392.866,0.6946479751750233,430.21184206167845
29247,190.245,10.753886091830433,311.765,13.5442481884058,0.5171989,401.4079,0.6763539451184059,420.37659539741696
29381,189.52,11.756356998758772,311.765,13.5442481884058,0.4878861,398.5691,0.7121936418793811,467.5812929643309
29515,189.22500000000002,11.037276645887506,311.765,13.5442481884058,0.3685841,295.6297,0.5501619767112708,367.4872664211494
29649,189.505,11.111456094206778,311.765,13.5442481884058,0.2794845,241.9519,0.4647339871911693,318.04982114403276
29782,191.125,10.91373875687914,311.765,13.5442481884058,0.3377912,313.6466,0.5044078708386328,347.9059631287871
29916,191.175,10.914002043561482,311.765,13.5442481884058,0.3202582,262.4015,0.4868079078802053,328.3459789393457
30050,189.91,10.655552870861836,311.765,13.5442481884058,0.4837099,382.7226,0.638500534149668,390.77782123441125
30184,188.48,11.561990318585261,311.765,13.5442481884058,0.3432502,278.0887,0.5596381331825127,363.88258817065906
30318,185.99,10.09185835773289,311.765,13.5442481884058,0.3187872,251.3405,0.45782346962373976,313.42930035659845
30386,185.145,11.604128240749267,311.765,13.5442481884058,0.373822,348.3823,0.6070899729065967,404.0165437477723
30455,183.62,11.52339206116739,311.765,13.5442481884058,0.3811901,302.4871,0.616207546404764,401.8094875142743
30524,183.62,11.725372506082824,311.765,13.5442481884058,0.6385906,489.9844,0.8873083051838789,526.3605243715234
30592,185.04,10.603524677314189,311.765,13.5442481884058,0.6667504,515.5632,0.8371965208552969,494.3492156014221
